Keys Cardiology Cardio Rehab,"391 Lee Blvd. Ste 300 Lehigh Acres, FL 33936",26.6111356,-81.6418306,Florida,2434,6,8
Huntsville Memorial Hospital Cardiac Rehab,"125 Medical Park Ln Huntsville, TX 77340-4905",30.6961495,-95.5623022,Texas,476,1,3
Ascension St. Michael's Hospital Cardiac Rehabilitation,"2401 Plover Rd Plover, WI 54467-3916",44.4524227,-89.5377475,Wisconsin,251,5,5
CRMC Wellness Center and Cardiac Rehab - Cardiac Rehabilitation,"200 Doctors Drive Suite 222 Dahlonega, GA 30533",34.5261465,-83.9843953,Georgia,1213,5,6
Ferrell Hospital Cardiac Rehab,"1201 Pine St Eldorado, IL 62930-1634",37.8157807682475,-88.4419215416728,Illinois,193,2,6
KZB,"1114 16th Ct S Phenix City, AL 36869-7914",32.4286873,-85.0162199,Alabama,1729,6,7
KZB Post Cardiovascular,"1114 16th Ct S Phenix City, AL 36869-7914",32.4286873,-85.0162199,Alabama,1729,6,7
Lifestyle Program,"328 E 650 S La Porte, IN 46350-9363",41.5099799,-86.6906992,Indiana,2017,10,12
Dignity Health/French Hospital Cardiac Rehab,"1941 Johnson Ave Suite LL# San Luis Obispo, CA 93401-4163",35.2784959,-120.6511098,California,675,3,5
AdventHealth North Pinellas Cardiac Rehab,"1395 S. Pinellas Ave Tarpon Springs, FL 34689",28.1323928,-82.7578905,Florida,8205,10,28
Covenant Health Cardiopulmonary Rehabilitation,"220 FT Sanders West Blvd Building 2, Suite 205 Knoxville, TN",35.8991747,-84.1210218,Tennessee,3743,9,10
Beaumont Health Cardiac Rehabilitation,"28050 Grand River Avenue 2 West Cardiology Farmington Hills, MI 481336",42.4437325,-83.3245903,Michigan,11342,26,37
(St. Joseph Warren Hospital Cardiac Rehabilitation),"667 Eastland Ave NE B Entrance Warren, OH 44484-4503",41.2308581,-80.7770344,Ohio,2323,5,13
(Rolling Plains Memorial Hospital Cardiac Rehabilitation),"200 E Arizona Ave Sweetwater, TX 79556-7120",32.4532357,-100.3958525,Texas,125,1,3
(St. Joseph Regional Medical Center Cardiac Rehab),"415 6th St Lewiston, ID 83501-2431",46.4166818,-117.0244103,Idaho,245,2,5
(Inspira Medical Center Cardiac Rehab - Elmer),"501 Front St Elmer, NJ 08318-2101",39.5877011,-75.1806211,New Jersey,11504,19,36
Main Line Health Cardiac Rehabilitation,"100 E Lancaster Ave Wynnewood, PA 19096-3450",39.9871238,-75.2627632,Pennsylvania,17235,34,63
Mahaska Health Cardiac Rehab,"1229 C Ave E Oskaloosa, IA 52577-4246",41.2995262,-92.6297829,Iowa,350,5,6
Elmhurst Hospital Center Cardiac Rehab,"79-01 Broadway Elmhurst, NY 11373-1329",40.7450814,-73.8857797,New York,42095,43,107
A.O. Fox Memorial Hospital: HealthLinks at Fox Care Center (Cardiac Rehabilitation Program),"One FoxCare Drive Oneonta, NY 13820",42.4574088,-75.0295178,New York,421,4,7
Abington Jefferson Health (Abington Jefferson Cardiac Rehab),"2510 Maryland Rd Ste 100 Willowood Building Willow Grove, PA 19090-1108",40.163401,-75.130063,Pennsylvania,16594,28,63
Abington-Lansdale Hospital (Abington-Lansdale Hospital Cardiac Rehab),"100 Medical Campus Dr Lansdale, PA 19446-1259",40.2504115,-75.2714216,Pennsylvania,16593,28,61
Abraham Lincoln Memorial Hospital (Abraham Lincoln Memorial Cardiac Rehab),"200 Stahlhut Dr. Lincoln, IL 62656",40.1537478,-89.3895011,Illinois,995,2,5
Abrazo Arrowhead Hospital (Abrazo Arrowhead Hospital Cardiac Rehabilitation),"18701 N 67TH Avenue Glendale, AZ 85308",33.6547083,-112.2011817,Arizona,7590,20,28
Abrazo West Campus (Abrazo West Campus Cardiac Rehab),"13677 W McDowell Rd Goodyear, AZ 85395-2635",33.4625907,-112.3520988,Arizona,8019,20,29
Acadian Medical Center (Acadian Medical Center Cardiac Rehab),"3501 Highway 190 Eunice, LA 70535-5129",30.4969073,-92.3860674,Louisiana,1573,3,15
Adair County Health System Outpatient Cardiac Rehab (Outpatient Cardiac Rehab),"609 SE Kont Greenfield, IA 50849",41.3038341,-94.4517377,Iowa,155,4,6
Adams Memorial Hospital (Cardiac Rehab),"1100 Mercer Ave. Decatur, IN 46733",40.817419,-84.9150369,Indiana,2136,6,14
Adena Health Center Waverly (adena Health System Cardiac Rehab),"12340 St. Route 104 Waverly, OH 45690",39.1177939,-82.9964353,Ohio,787,3,6
Adena Regional Medical Center (Adena Health System Cardiac Rehab),"4453 State Route 159 Chillicothe, OH 45601",39.3977846,-82.96576,Ohio,423,3,5
Advent Health - Bolingbrook (Advent Health Bolingbrook Cardiac Rehabilitation),"420 S. Schmidt Rd. Suite #234 Bolingbrook, IL 60440",41.681517,-88.0851109,Illinois,19271,47,61
Advent Health Altamonte Springs (Advent Health Altamonte Springs Cardiac Rehab),"661 E Altamonte Dr Ste 331 Altamonte Springs, FL 32701-5103",28.6655965,-81.3684816,Florida,6965,9,25
Advent Health Shawnee Mission Medical Center (Advent Health Shawnee Mission Cardiac Rehabilitation),"7315 E. Frontage Road Suite 135 Shawnee Mission, KS 66204",38.9959911,-94.6948607,Kansas,3689,22,19
Advent Health Waterman (Advent Health Waterman Cardiac Rehabilitation),"1000 Waterman Way MOB St. 1011 Tavares, FL 32778-5266",28.8240952,-81.7118549,Florida,5863,9,18
AdventHealth Celebration (AdventHealth Celebration Cardiac Rehabilitation),"400 Celebration Place Ste C200 Celebration, FL 34747",28.3286305,-81.541257,Florida,6926,6,25
AdventHealth Durand (AdventHealth Durand Cardiac Rehab),"1220-3rd Ave. W. Durand, WI 54736",44.6205397,-91.9612078,Wisconsin,822,7,9
AdventHealth Hendersonville (AdventHealth Hendersonville Cardiac Rehab),"50 Hospital Dr Ste 3B-1 Hendersonville, NC 28792-5272",35.3893876,-82.4874165,North Carolina,1554,7,7
AdventHealth Ocala (AdventHealth Ocala Cardiac Rehab),"1500 SW 1st Ave Ocala, FL 34471",29.1753113,-82.1388933,Florida,1370,2,5
AdventHealth Orlando (AdventHealth Orlando Cardiac Rehab),"601 E. Rollins Street 2nd Floor Gingsburg Orlando, FL 32803",28.5751245,-81.3696726,Florida,6801,8,24
AdventHealth Ottawa (AdventHealth Ottawa Cardiac Rehabilitation),"1301 S Main St Ottawa, KS 66067-3537",38.5963561,-95.2677091,Kansas,12,4,1
AdventHealth Sebring (AdventHealth Sebring Cardiovascular Program),"4200 Sun N Lake Blvd Sebring, FL 33872-1986",27.5396502,-81.5105882,Florida,540,1,6
AdventHealth Tampa (AdventHealth Tampa Cardiac Rehab),"3100 E Fletcher Ave Tampa, FL 33613-4613",28.0713627,-82.4234311,Florida,10282,14,35
AdventHealth Zephyrhills (AdventHealth Zephyrhills Cardiac Rehab),"7050 Gall Blvd Zephyrhills, FL 33541-1347",28.2608164,-82.1853691,Florida,6404,8,20
Adventist Health Bakersfield (Adventist Health Bakersfield Cardiac Rehabilitation),"1524 27th St. Suite 101 Bakersfield, CA 93301",35.384370402466,-119.019717587789,California,1346,2,9
Adventist Health Glendale (Adventist Health Glendale Cardiac Rehab),"1509 Wilson Ter Glendale, CA 91206-4007",34.1507443,-118.2291341,California,21824,15,96
Adventist Health Rideout (Adventist Health + Rideout Cardiac Rehab),"401 I street Marysville, CA 95901",39.1388586,-121.59605,California,498,2,6
Adventist Healthcare (Adventist Healthcare Cardiac Rehab),"11886 Healing Way Ste 306 Silver Spring, MD 20904-7917",39.0491923,-76.9567085,Maryland,13956,24,44
Adventist Medical Center (Adventist Health Portland Cardiac Rehabilitation),"10000 SE Main Street Suite 55 Portland, OR 97216",45.513383,-122.5598381,Oregon,4551,12,16
Advocate Bromenn Medical Center (Advocate Bromenn Cardiac Rehabilitation),"1304 Franklin Ave. Normal, IL 61761",40.497034,-88.99059,Illinois,443,2,5
Advocate Christ Medical Center (Advocate Christ Medical Center Cardiac Rehabilitation),"4440 W. 95th Street OPP 6th Floor Oak Lawn, IL 60453",41.7234117,-87.7330709,Illinois,20627,52,67
Advocate Christ Medical Center (Cardiac Rehab At High Tech Medical Park),"11800 Southwest Hwy Palos Heights, IL 60463",41.6776268,-87.8145195,Illinois,20556,49,66
Advocate Condell Medical Center (Advocate Condell Medical Center Cardiac Rehabilitation),"801 South Milwaukee Avenue West Tower, Room 1436 Libertyville, IL 60048",42.2749461,-87.9566067,Illinois,10526,29,41
Advocate Good Samaritan Hospital (Advocate Good Samaritan Hospital Cardiac Rehabilitation),"3815 Highland Ave Deb and Alan Feldman Cardiovascular Pavillion Downers Grove, IL 60515-1500",41.8183794,-88.0082699,Illinois,20339,51,65
Advocate Good Shepherd Hospital (Advocate Good Shepherd Hospital Cardiac Rehab),"450 W. Hwy 22 Barrington, IL 60010",42.1542299,-88.1659385,Illinois,11071,35,44
Advocate Lutheran General Hospital (Advocate Lutheran General Hospital Cardiac Rehabilitation),"1875 Dempster St. Suite G10 Park Ridge, IL 60068",42.0387133,-87.8473517,Illinois,18676,46,62
Advocate Sherman Hospital (Advocate Sherman Hospital Cardiac Rehabilitation),"1425 N Randall Rd Elgin, IL 60123",42.0700246,-88.3309425,Illinois,7867,30,31
Advocate South Suburban Hospital (Cardiopulmonary Rehabilitation Department),"17800 S. Kedzie Avenue Hazel Crest, IL 60441",41.5665844,-87.697323,Illinois,17443,45,57
Advocate Trinity Hospital (Advocate Trinity Hospital Cardiac Rehabilitation),"2320 East 93rd Street Chicago, IL 60617",41.7265222,-87.5679334,Illinois,18548,48,62
Affinity Medical Center (Cardiac Rehabilitation Program),"875 8th St. N.E. Massillon, OH 44646",40.8065147,-81.5171985,Ohio,3961,12,16
Agnesian Healthcare/St. Agnes Hospital (St. Agnes Hospital Cardiac Rehabilitation),"430 East Division Street Fond Du Lac, WI 54935",43.7775804,-88.4313103,Wisconsin,662,6,8
AHN-Wexford Health and Wellness Pavilion (Wexford Cardiovascular Rehab),"12311 Perry Hwy Wexford, PA 15090-8344",40.6356415,-80.0638147,Pennsylvania,7335,10,25
AL!VE Hayes Green Hospital Memorial Hospital (AL!VE- Hayes Green Beach Memorial Hospital Cardiac Rehab),"800 W Lawrence Ave Charlotte, MI",42.5659469,-84.848811,Michigan,1344,6,10
Alamance Regional Medical Center (Alamance Regional Medical Center HeartTrack Cardiac Rehab),"1240 Huffman Mill Rd Burlington, NC 27215-8700",36.0610634,-79.5021993,North Carolina,3004,6,10
Alaska Regional Hospital (Alaska Regional Hospital Cardiac Rehabilitation),"2751 Debarr Rd Ste 250 Anchorage, AK 99508-6818",61.2112904121807,-149.830177386641,Alaska,824,2,3
Alegent Creighton Health (Alegent Creighton Health Cardiac Rehab),"12809 West Dodge Road Omaha, NE 68154",41.2623052,-96.1118674,Nebraska,3861,13,18
Alegiscare (Alegiscare Cardiac Rehabilitation),"220 Buckingham Ln Schererville, IN 46375-4322",41.4677671,-87.4569756,Indiana,8588,22,31
Alexian Brothers Medical Center (Alexian Brothers Medical Center Cardiac Rehab),"800 Biesterfield Road Elk Grove Village, IL 60007",42.0084197,-88.0526781,Illinois,18689,46,61
Alleghany Memorial Hospital (Cardiac Rehabilitation Program),"Sparta, NC 28675",36.5054071,-81.1209189,North Carolina,571,3,6
Allen Memorial Hospital (Allen Memorial Hospital Cardiac Rehabilitation),"1825 Logan Ave Waterloo, IA 50703",42.5266507,-92.3395639,Iowa,975,6,10
Alliance (Cardiac Rehabilitation),"1243 Golden State Blvd Fresno, CA 93725",36.7139903,-119.7760957,California,2034,3,11
Alliance Health Durant (Alliance Health Durant Cardiac Rehab),"1800 University Blvd Durant, OK 74701",34.007302,-96.3938864,Oklahoma,747,2,6
Allina District One Hospital (Allina District One Hospital Cardiac Rehab),"200 State Ave Faribault, MN 55021-6339",44.2884458,-93.2574729,Minnesota,228,4,6
Allina Health - Mercy Hospital (Cardiac Rehabilitation),"4050 Coon Rapids Blvd Coon Rapids, MN 51110",45.1828494,-93.3693598,Minnesota,8389,20,23
Alta Bates Summit Medical Center (Alta Bates Summit Medical Center Cardiac Rehabilitation),"3030 Telegraph Avenue Berkeley, CA 94705",37.8547095,-122.2603921,California,10404,12,58
Altru Health System (Altru Health System Cardiac Rehabilitation),"1200 Columbia Rd Grand Forks, ND 58206-6002",47.9106165,-97.0686086,ND,410,2,5
American Fork Hospital (American Fork Hospital Cardiac Rehab),"170 N 1100 E American Fork, UT 84003-2096",40.380148,-111.7671487,UT,3348,4,19
Amery Regional Medical Center (Amery Hospital Cardiac Rehab),"265 Griffin St E Amery, WI 54001",45.2969166,-92.3609411,Wisconsin,295,9,9
Amita Adventist Hinsdale Hospital (Amita Adventist Hinsdale Hospital Cardiac Rehabilitation),"120 North Oak Hinsdale, IL 60521",41.8060105,-87.9216592,Illinois,21233,54,70
AMITA Health Saint Joseph Hospital Elgin (AMITA Health Saint Joseph Hospital Elgin Cardiac Rehab),"77 N. Airlite St. Elgin, IL 60123",42.035798,-88.325964,Illinois,8532,33,33
Amita Health St. Mary's Hospital (Amita Health St. Mary's Hospital Cardiac Rehab),"100 N River Rd Des Plaines, IL 60016-1209",42.0559495,-87.8919451,Illinois,19178,47,64
AMITA LaGrange Memorial Hospital (AMITA Health Adventist Medical Center LaGrange Cardiac Rehab),"5101 S. Willow Springs Rd. Cardiopulmonary Rehab LaGrange, IL 60525",41.7967451,-87.8863882,Illinois,21057,53,69
AMITA Saint Joseph Medical Center (AMITA Saint Joseph Medical Center Cardiac Rehabilitation),"333 N. Madison Joliet, IL 60435",41.5279269,-88.1360016,Illinois,7736,27,27
Anderson Regional Medical Center (Anderson Regional Medical Center Cardiac Rehabilitation),"2124 14th Street Meridian, MS 39301",32.3715545,-88.6996095,Mississippi,854,1,9
Androscoggin Valley Hospital (AVH Cardiac Rehabilitation),"59 Page Hill Road 3rd Floor Berlin, NH 03570",44.4876103,-71.1568453,New Hampshire,100,3,4
AnMed Health (AnMed Health Cardiovascular Rehab Program),"100 Healthy Way Suite 1100 Anderson, SC 29621-7915",34.5421361,-82.628115,South Carolina,2192,6,11
Anne Arundel Medical Center (Anne Arundel Medical Center Cardiac Rehabilitation),"2000 Medical Pkwy Belcher Pavilion, Ste 404 Annapolis, MD 21401-3742",38.9896296,-76.5368946,Maryland,10430,19,35
Annie Penn Hospital (Annie Penn Hospital Cardiac Rehab Program),"618 S. Main Street Reidsville, NC 27320",36.3530072,-79.6681907,North Carolina,2188,4,10
Arizona Heart Hospital (Arizona Heart Hospital Cardiac Rehabilitation),"1930 E Thomas Rd Phoenix, AZ 85016",33.481025,-112.039626,Arizona,9235,23,40
Arkansas Heart Hospital (Arkansas Heart Hospital Strong Hearts Rehabilitation),"7 Shackleford West Blvd Fl 4 Little Rock, AR 72211-3886",34.7410299,-92.3967511,Arkansas,2738,17,10
Arkansas Heart Hospital (Arkansas Heart Hospital Strong Hearts Rehabilitation Center - Encore),"1901 Encore Way Bryant, AR 72019-8896",34.6128541,-92.5206224,Arkansas,2573,15,9
Arkansas Heart Hospital - Russellville (Arkansas Heart Hospital - Strong Hearts Rehabilitation Center - Russellville),"209 S Portland Ave Fl 2 Russellville, AR 72801-2339",35.2904566,-93.1682971,Arkansas,362,1,5
Arnot Ogden Medical Center (Arnot Ogden Medical Center Cardiac Rehabilitation),"600 Roe Ave. Elmira, NY 14905",42.1000552,-76.8279478,New York,930,6,8
Asante Rogue Regional Medical Center (Asante Rogue Regional Medical Center Cardiac Rehabilitation),"2825 E. Barnett Road Medford, OR 97504",42.3169741,-122.831337,Oregon,720,3,4
Ascension Borgess Allegan Hospital (Ascension Borgess Allegan Cardiac Rehab),"555 Linn St. Allegan, MI 49010",42.5195749,-85.8563903,Michigan,1316,6,9
Ascension Borgess Hospital (Ascension Borgess Hospital Cardiac Rehabilitation),"3025 Gull Road Kalamazoo, MI 49048",42.3168033,-85.5427124,Michigan,1121,6,7
Ascension Calumet Hospital (Ascension Calumet Hospital Cardiac Services),"614 Memorial Drive Chilton, WI 53014",44.0248999,-88.1541856,Wisconsin,1692,12,11
Ascension Columbia St. Mary's Hospital - Milwaukee (Ascension Columbia St. Mary's Milwaukee Cardiac Rehabilitation),"2301 N Lake Dr. Milwaukee, WI 53211",43.0607374,-87.880037,Wisconsin,6131,16,29
Ascension Genesys Hospital (Ascension Genesys Hospital Cardiac Rehab),"One Genesys Parkway GAC 821 Grand Blanc, MI 48439",42.8924612,-83.6361435,Michigan,3283,8,13
Ascension Macomb-Oakland (Ascension Macomb-Oakland Cardiac Rehabilitation),"12000 12 Mile Road Medical Education Building Warren, MI 48093",42.506739,-83.0026062,Michigan,9750,24,34
Ascension NE Wisconsin Mercy Hospital (Ascension Mercy Hospital Cardiac Rehabilitation Services),"2700 W. 9th Avenue Suite 107 Oshkosh, WI 54904",44.0127631,-88.6006873,Wisconsin,1179,9,11
"Ascension Providence (R.W. Crosthwait, Sr. Cardiopulmonary Rehabilitation Center)","6901 Medical Parkway Waco, TX 76712",31.5142475,-97.1989903,Texas,558,2,4
Ascension SE WI Wauwatosa Campus (Ascension Mayfair Campus Cardiac Rehab),"201 N Mayfair Rd Milwaukee, WI 53226-4216",43.0326006,-88.0478395,Wisconsin,6481,17,32
Ascension Seton Bastrop (Ascension Seton Bastrop Cardiac Rehab),"630 Highway 71 W Ste B Bastrop, TX 78602-4283",30.1084558,-97.3448198,Texas,1598,5,9
Ascension Seton Hays (Ascension Seton Hays Cardiac Rehabilitation),"1180 Seton Pkwy Ste 100 Kyle, TX 78640-6179",30.0098481,-97.8520102,Texas,2867,8,18
Ascension Seton Medical Center (Ascension Seton Medical Center Cardiac Rehabilitation),"1301 W. 38th St. Suite 510 Austin, TX 78705",30.3053377,-97.7467206,Texas,3132,11,22
Ascension Seton Southwest (Ascension Seton Southwest Cardiac Rehabilitation),"7900 FM 1826 Suite 102 Austin, TX 78737-1407",30.2260683,-97.7632745,Texas,3277,12,22
Ascension Seton Williamson (Ascension Seton Williamson Cardiac Rehabilitation),"201 Seton Pkwy Round Rock, TX 78665-8000",30.5670699,-97.6512507,Texas,2963,8,20
Ascension St. John Jane Phillips (Ascension St. John Jane Phillips Cardiac Rehab),"3500 SE Frank Phillips Blvd Bartlesville, OK 74006",36.7519602,-95.9398416,Oklahoma,208,1,4
Ascension St. Mary's (Ascension St. Mary's Cardiac Rehabilitation),"800 S. Washington Avenue Saginaw, MI 48601",43.4260334,-83.9417134,Michigan,1600,4,8
Ascension St. Vincent Evansville (Ascension St. Vincent Evansville Cardiac Rehabilitation),"3700 Washington Ave Evansville, IN 47714",37.9628464,-87.4958477,Indiana,1720,3,7
Ascension St. Vincent's Riverside (Ascension St. Vincent's Riverside Cardiac Rehabilitation),"1824 King Street, Suite 100 Jacksonville, FL 32204",30.3069797,-81.6914164,Florida,3969,12,14
Ascension Standish Hospital (Ascension Standish Hospital Cardiac Rehabilitation),"805 W. Cedar Standish, MI 48658",43.9816781,-83.9691863,Michigan,822,5,6
Ascension Via Christi Hospital (Ascension Via Christi Cardiac Rehabilitation),"929 N. St. Francis Wichita, KS 67214",37.6994462,-97.3322789,Kansas,61,4,1
Ashe Memorial Hospital (Mountain Hearts Cardiac Rehab),"200 Hospital Ave Jefferson, NC 28640",36.4233112,-81.4578526,North Carolina,400,3,6
Ashley Regional Medical Center (Ashley Regional Medical Center Cardiac Rehab),"150 W 100 N Vernal, UT 84078-2036",40.4573865,-109.5310091,Utah,88,1,2
Aspen Valley Hospital (Aspen Valley Hospital Cardiac Rehabilitation),"0401 Castle Creek Rd Aspen, CO 81611",39.1891925,-106.8381908,Colorado,50,1,2
Aspirus Eagle River Hospital (Aspirus Eagle River Hospital Cardiac Rehabilitation),"201 E. Hospital Rd. Eagle River, WI 54521",45.9282834,-89.2505059,Wisconsin,216,5,4
Aspirus Howard Young Medical Center (Aspirus Howard Young Medical Center Cardiac Rehab),"240 Maple St Woodruff, WI 54568",45.8936315,-89.7025876,Wisconsin,234,6,5
Aspirus Ironwood Hospital (Aspirus Ironwood Hospital Cardiac Rehab),"N10561 Grandview Ln Ironwood, MI 49938-9622",46.4782836,-90.1057372,Michigan,25,1,1
Aspirus Keweenaw Hospital (Aspirus Keweenaw Hospital Cardiac Rehabilitation),"205 Osceola Street Laurium, MI 49913",47.2387168,-88.4435429,Michigan,61,2,2
Aspirus Medford Hospital (Aspirus Medford Hospital Cardiac Rehabilitation),"135 S. Gibson St. Medford, WI 54451",45.135305,-90.3557791,Wisconsin,25,1,1
Aspirus Merrill Clinic (Aspirus Merrill Hospital Cardiac Rehab),"3333 E Main Street Merrill, WI 54452",45.1769292,-89.6533943,Wisconsin,500,5,6
Aspirus Plover Clinic (Aspirus Plover Clinic Hospital Cardiac Rehabilitation),"900 Illinois Ave. Stevens Point, WI 54481",44.5267124,-89.5671536,Wisconsin,358,6,7
Aspirus Rhinelander Clinic (ARC Cardiac Rehab),"2275 N Shore Drive Rhinelander, WI 54501",45.6376479,-89.3731876,Wisconsin,234,6,5
Aspirus Rhinelander Hospital (Aspirus Rhinelander Hospital Cardiac Rehab),"2251 North Shore Drive Suite 100 Rhinelander, WI 54501",45.6393654,-89.3747803,Wisconsin,234,6,5
Aspirus Riverview Hospital (Aspirus Riverview Hospital Cardiac Rehabilitation),"410 Dewey Street PO Box 8080 Wisconsin Rapids, WI 54494",44.3817334,-89.8303048,Wisconsin,746,5,5
Aspirus Tomahawk Hospital (Aspirus Tomahawk Hospital Cardiac Rehab),"401 W Mohawk Dr Ste 100 Tomahawk, WI 54487-2273",45.48661,-89.734866,Wisconsin,234,5,5
Aspirus Wausau Hospital (Aspirus Wausau Cardiac Rehabilitation),"333 Pine Ridge Blvd Wausau, WI 54401-4102",44.9657037,-89.6686901,Wisconsin,482,4,5
Atrium Health Cabarrus (Atrium Health Cabarrus Cardiac Rehabilitation),"1090 Northeast Gateway Court NE Suite 102 Concord, NC 28025",35.4553124,-80.5910453,North Carolina,3886,7,16
"Atrium Health Cardiac & Pulmonary Rehabilitation, a facility of Carolinas Medical Center (Atrium Health Cardiac Rehabilitation, a facility of Carolinas Medical Center)","1237 Harding Place, Suite 1300 Charlotte, NC 28204",35.209511,-80.8386479,North Carolina,4078,7,15
Atrium Health Cleveland (Atrium Health Cleveland Cardiac Rehabilitation),"201 East Grover Street Shelby, NC 28150",35.3020407,-81.5368441,North Carolina,1112,3,5
Atrium Health Pineville (Atrium Health Pineville Cardiac Rehab),"10660 Park Rd Suite 3300 Charlotte, NC 28210-8542",35.0899952,-80.8710736,North Carolina,4065,9,14
Atrium Health Union (Atrium Health Union Cardiac Rehab),"1550 Faulk St Ste 3200 Monroe, NC 28112-5086",34.9748657,-80.5213579,North Carolina,2761,6,11
Atrium Medical Center (Atrium Medical Center Cardiac Rehabilitation),"One Medical Center Drive Middletown, OH 45005",39.4993631,-84.3154681,Ohio,6719,18,25
Auburn Community Hospital (Cardiac Rehab Center),"17 Lansing Street Auburn, NY 13021",42.9413324,-76.5639273,New York,2320,7,9
Augusta Health (Augusta Health Cardiac Rehabilitation),"78 Medical Center Dr Fishersville, VA 22939-2332",38.094358,-78.986591,Virginia,1360,3,4
Augusta University Health (Augusta University Medical Center Cardiac Rehabilitation),"937 15th St FC-1110 Augusta, GA 30912-0008",33.4729743,-81.9900466,Georgia,2392,2,8
Aultman Health Foundation (Aultman Hospital Cardiac Rehabilitation - Canton),"2600 Sixth Street SW Canton, OH 44710",40.7967119,-81.4037873,Ohio,3742,11,14
